Datum,Transaktionstyp,Beschreibung,Betrag,Kategorie,Belegnummer,Status,Notizen
2025-10-15,Gelir,PayPal Satış,25.00,Satış,PAYPAL-KLEIN-2025-10-15,Tamamlandı,PayPal üzerinden ödeme alındı
2025-10-20,Gelir,Flohmarkt Satış (Nakit),15.00,Satış,FLOHMARKT-2025-10-20,Tamamlandı,Spandau Flohmarkt'ta nakit satış
2025-10-25,Gelir,Flohmarkt Satış (Nakit),20.00,Satış,FLOHMARKT-2025-10-25,Tamamlandı,Spandau Flohmarkt'ta nakit satış
2025-11-05,Gelir,Flohmarkt Satış (Nakit),10.00,Satış,FLOHMARKT-2025-11-05,Tamamlandı,Spandau Flohmarkt'ta nakit satış
2025-11-10,Gider,Kleinanzeigen Ürün Alımı,-30.00,Ürün Alımı,KLEIN-ALIS-2025-11-10,Tamamlandı,Ürün alımı
,TOPLAM GELİR,Toplam Kleinanzeigen Gelirleri,70.00,,
,TOPLAM GİDER,Toplam Kleinanzeigen Giderleri,-30.00,,
,NET KÂR/ZARAR,Net Kleinanzeigen Sonucu,40.00,,

